2024-08-17 18:12:39 - Head: (2, 12), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:39 - Head: (2, 13), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:39 - Head: (2, 14), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:39 - Head: (2, 15), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:39 - Head: (2, 16), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:39 - Head: (2, 17), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:39 - Head: (2, 18), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:39 - Head: (2, 19), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:39 - Head: (2, 0), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:40 - Head: (2, 1), Food: (7, 1), Move: (0, 1), Confidence: 50.28%
2024-08-17 18:12:40 - Head: (1, 1), Food: (7, 1), Move: (-1, 0), Confidence: 92.30%
2024-08-17 18:12:40 - Head: (0, 1), Food: (7, 1), Move: (-1, 0), Confidence: 98.41%
2024-08-17 18:12:40 - Head: (19, 1), Food: (7, 1), Move: (-1, 0), Confidence: 99.75%
2024-08-17 18:12:40 - Head: (18, 1), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:40 - Head: (17, 1), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:40 - Head: (16, 1), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:40 - Head: (15, 1), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:40 - Head: (14, 1), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:40 - Head: (13, 1), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:41 - Head: (12, 1), Food: (7, 1), Move: (-1, 0), Confidence: 99.99%
2024-08-17 18:12:41 - Head: (11, 1), Food: (7, 1), Move: (-1, 0), Confidence: 99.85%
2024-08-17 18:12:41 - Head: (10, 1), Food: (7, 1), Move: (-1, 0), Confidence: 98.53%
2024-08-17 18:12:41 - Head: (10, 2), Food: (7, 1), Move: (0, 1), Confidence: 51.05%
2024-08-17 18:12:41 - Head: (10, 3), Food: (7, 1), Move: (0, 1), Confidence: 82.03%
2024-08-17 18:12:41 - Head: (10, 4), Food: (7, 1), Move: (0, 1), Confidence: 52.40%
2024-08-17 18:12:41 - Head: (11, 4), Food: (7, 1), Move: (1, 0), Confidence: 70.31%
2024-08-17 18:12:41 - Head: (12, 4), Food: (7, 1), Move: (1, 0), Confidence: 96.49%
2024-08-17 18:12:41 - Head: (13, 4), Food: (7, 1), Move: (1, 0), Confidence: 99.56%
2024-08-17 18:12:41 - Head: (14, 4), Food: (7, 1), Move: (1, 0), Confidence: 99.93%
2024-08-17 18:12:42 - Head: (15, 4), Food: (7, 1), Move: (1, 0), Confidence: 99.99%
2024-08-17 18:12:42 - Head: (16, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:42 - Head: (17, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:42 - Head: (18, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:42 - Head: (19, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:42 - Head: (0, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:42 - Head: (1, 4), Food: (7, 1), Move: (1, 0), Confidence: 92.49%
2024-08-17 18:12:42 - Head: (2, 4), Food: (7, 1), Move: (1, 0), Confidence: 57.63%
2024-08-17 18:12:42 - Head: (2, 5), Food: (7, 1), Move: (0, 1), Confidence: 73.57%
2024-08-17 18:12:42 - Head: (2, 6), Food: (7, 1), Move: (0, 1), Confidence: 73.53%
2024-08-17 18:12:43 - Head: (2, 7), Food: (7, 1), Move: (0, 1), Confidence: 99.39%
2024-08-17 18:12:43 - Head: (2, 8), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:43 - Head: (2, 9), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:43 - Head: (2, 10), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:43 - Head: (2, 11), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:43 - Head: (2, 12), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:43 - Head: (2, 13), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:43 - Head: (2, 14), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:43 - Head: (2, 15), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:43 - Head: (2, 16), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:44 - Head: (2, 17), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:44 - Head: (2, 18), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:44 - Head: (2, 19), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:44 - Head: (2, 0), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:44 - Head: (2, 1), Food: (7, 1), Move: (0, 1), Confidence: 50.28%
2024-08-17 18:12:44 - Head: (1, 1), Food: (7, 1), Move: (-1, 0), Confidence: 92.30%
2024-08-17 18:12:44 - Head: (0, 1), Food: (7, 1), Move: (-1, 0), Confidence: 98.41%
2024-08-17 18:12:44 - Head: (19, 1), Food: (7, 1), Move: (-1, 0), Confidence: 99.75%
2024-08-17 18:12:44 - Head: (18, 1), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:44 - Head: (17, 1), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:45 - Head: (16, 1), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:45 - Head: (15, 1), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:45 - Head: (14, 1), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:45 - Head: (13, 1), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:45 - Head: (12, 1), Food: (7, 1), Move: (-1, 0), Confidence: 99.99%
2024-08-17 18:12:45 - Head: (11, 1), Food: (7, 1), Move: (-1, 0), Confidence: 99.85%
2024-08-17 18:12:45 - Head: (10, 1), Food: (7, 1), Move: (-1, 0), Confidence: 98.53%
2024-08-17 18:12:45 - Head: (10, 2), Food: (7, 1), Move: (0, 1), Confidence: 51.05%
2024-08-17 18:12:45 - Head: (10, 3), Food: (7, 1), Move: (0, 1), Confidence: 82.03%
2024-08-17 18:12:45 - Head: (10, 4), Food: (7, 1), Move: (0, 1), Confidence: 52.40%
2024-08-17 18:12:46 - Head: (11, 4), Food: (7, 1), Move: (1, 0), Confidence: 70.31%
2024-08-17 18:12:46 - Head: (12, 4), Food: (7, 1), Move: (1, 0), Confidence: 96.49%
2024-08-17 18:12:46 - Head: (13, 4), Food: (7, 1), Move: (1, 0), Confidence: 99.56%
2024-08-17 18:12:46 - Head: (14, 4), Food: (7, 1), Move: (1, 0), Confidence: 99.93%
2024-08-17 18:12:46 - Head: (15, 4), Food: (7, 1), Move: (1, 0), Confidence: 99.99%
2024-08-17 18:12:46 - Head: (16, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:46 - Head: (17, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:46 - Head: (18, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:46 - Head: (19, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:46 - Head: (0, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:47 - Head: (1, 4), Food: (7, 1), Move: (1, 0), Confidence: 92.49%
2024-08-17 18:12:47 - Head: (2, 4), Food: (7, 1), Move: (1, 0), Confidence: 57.63%
2024-08-17 18:12:47 - Head: (2, 5), Food: (7, 1), Move: (0, 1), Confidence: 73.57%
2024-08-17 18:12:47 - Head: (2, 6), Food: (7, 1), Move: (0, 1), Confidence: 73.53%
2024-08-17 18:12:47 - Head: (2, 7), Food: (7, 1), Move: (0, 1), Confidence: 99.39%
2024-08-17 18:12:47 - Head: (2, 8), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:47 - Head: (2, 9), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:47 - Head: (2, 10), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:47 - Head: (2, 11), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:47 - Head: (2, 12), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:48 - Head: (2, 13), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:48 - Head: (2, 14), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
